cv_number,mod_date,pub_date,cvss,cwe_code,cwe_name,summary,base_score,base_severity
CVE-2024-34050,2024-04-30T13:11Z,2024-04-30T00:15Z,,,,,,
CVE-2024-34061,2024-05-02T18:00Z,2024-05-02T14:15Z,,,,,,
CVE-2024-34062,2024-05-03T12:48Z,2024-05-03T10:15Z,,,,,,
CVE-2024-34063,2024-05-03T12:48Z,2024-05-03T10:15Z,,,,,,
CVE-2024-34064,2024-05-06T16:00Z,2024-05-06T15:15Z,,,,,,
CVE-2024-34066,2024-05-06T12:44Z,2024-05-03T18:15Z,,,,,,
CVE-2024-34067,2024-05-06T12:44Z,2024-05-03T18:15Z,,,,,,
CVE-2024-34068,2024-05-06T12:44Z,2024-05-03T18:15Z,,,,,,
CVE-2024-34069,2024-05-06T16:00Z,2024-05-06T15:15Z,,,,,,
CVE-2024-34072,2024-05-03T12:48Z,2024-05-03T11:15Z,,,,,,
CVE-2024-34073,2024-05-03T12:48Z,2024-05-03T11:15Z,,,,,,
CVE-2024-34075,2024-05-06T12:44Z,2024-05-03T18:15Z,,,,,,
CVE-2024-34078,2024-05-06T16:00Z,2024-05-06T15:15Z,,,,,,
CVE-2024-34084,2024-05-07T20:07Z,2024-05-07T15:15Z,,,,,,
CVE-2024-34088,2024-04-30T19:35Z,2024-04-30T19:15Z,,,,,,
CVE-2024-34089,2024-05-06T19:53Z,2024-05-06T16:15Z,,,,,,
CVE-2024-34090,2024-05-06T19:53Z,2024-05-06T16:15Z,,,,,,
CVE-2024-34091,2024-05-06T19:53Z,2024-05-06T16:15Z,,,,,,
CVE-2024-34092,2024-05-06T19:53Z,2024-05-06T16:15Z,,,,,,
CVE-2024-34093,2024-05-06T19:53Z,2024-05-06T16:15Z,,,,,,
CVE-2024-3411,2024-04-30T19:35Z,2024-04-30T19:15Z,,,,,,
CVE-2024-3413,2024-04-11T01:26Z,2024-04-06T19:15Z,,,,,,
CVE-2024-3414,2024-04-11T01:26Z,2024-04-06T21:15Z,,,,,,
CVE-2024-34144,2024-05-02T18:00Z,2024-05-02T14:15Z,,,,,,
CVE-2024-34145,2024-05-02T18:00Z,2024-05-02T14:15Z,,,,,,
CVE-2024-34146,2024-05-02T18:00Z,2024-05-02T14:15Z,,,,,,
CVE-2024-34147,2024-05-02T18:00Z,2024-05-02T14:15Z,,,,,,
CVE-2024-34148,2024-05-02T18:00Z,2024-05-02T14:15Z,,,,,,
CVE-2024-34149,2024-05-01T13:02Z,2024-04-30T23:15Z,,,,,,
CVE-2024-3415,2024-04-11T01:26Z,2024-04-06T23:15Z,,,,,,
CVE-2024-3416,2024-04-11T01:26Z,2024-04-07T04:15Z,,,,,,
CVE-2024-3417,2024-04-11T01:26Z,2024-04-07T06:15Z,,,,,,
CVE-2024-3418,2024-04-11T01:26Z,2024-04-07T10:15Z,,,,,,
CVE-2024-3419,2024-04-11T01:26Z,2024-04-07T10:15Z,,,,,,
CVE-2024-3420,2024-04-11T01:26Z,2024-04-07T11:15Z,,,,,,
CVE-2024-3421,2024-04-11T01:26Z,2024-04-07T13:15Z,,,,,,
CVE-2024-3422,2024-04-11T01:26Z,2024-04-07T14:15Z,,,,,,
CVE-2024-3423,2024-04-11T01:26Z,2024-04-07T15:15Z,,,,,,
CVE-2024-3424,2024-04-11T01:26Z,2024-04-07T16:15Z,,,,,,
CVE-2024-34244,2024-05-09T13:05Z,2024-05-08T17:15Z,,,,,,
CVE-2024-34246,2024-05-06T19:53Z,2024-05-06T16:15Z,,,,,,
CVE-2024-34249,2024-05-06T16:00Z,2024-05-06T15:15Z,,,,,,
CVE-2024-3425,2024-04-11T01:26Z,2024-04-07T16:15Z,,,,,,
CVE-2024-34250,2024-05-06T19:53Z,2024-05-06T16:15Z,,,,,,
CVE-2024-34251,2024-05-06T19:53Z,2024-05-06T16:15Z,,,,,,
CVE-2024-34252,2024-05-06T16:00Z,2024-05-06T15:15Z,,,,,,
CVE-2024-34255,2024-05-08T13:15Z,2024-05-08T13:15Z,,,,,,
CVE-2024-34257,2024-05-09T13:05Z,2024-05-08T17:15Z,,,,,,
CVE-2024-3426,2024-04-11T01:26Z,2024-04-07T17:15Z,,,,,,
CVE-2024-3427,2024-04-11T01:26Z,2024-04-07T17:15Z,,,,,,
